pattern_idx,overall_bitwise_fraction_diff,per_gate_mean_hamming,counted_bits_total,counted_gates_total,final_accuracy,final_hard_loss,per_layer_bitwise_fraction_diff
86,0.38330078125,0.38330078125,2048,128,0.95849609375,85.0,"[0.3075000047683716, 0.4538043439388275, 0.4114583432674408, 0.3671875]"
87,0.314453125,0.314453125,2048,128,0.9677734375,66.0,"[0.21301020681858063, 0.3930555582046509, 0.3725961446762085, 0.3046875]"
88,0.3837890625,0.3837890625,2048,128,0.939453125,124.0,"[0.27173912525177, 0.4566326439380646, 0.44999998807907104, 0.375]"
89,0.36328125,0.36328125,2048,128,0.93212890625,139.0,"[0.26530611515045166, 0.44281914830207825, 0.40625, 0.3671875]"
90,0.35888671875,0.35888671875,2048,128,0.94580078125,111.0,"[0.30319148302078247, 0.40425533056259155, 0.3822115361690521, 0.34375]"
91,0.37451171875,0.37451171875,2048,128,0.9345703125,134.0,"[0.2992021143436432, 0.44999998807907104, 0.3804347813129425, 0.328125]"
92,0.380859375,0.380859375,2048,128,0.9296875,144.0,"[0.32608696818351746, 0.40625, 0.4399038553237915, 0.3515625]"
93,0.38134765625,0.38134765625,2048,128,0.93798828125,127.0,"[0.3235294222831726, 0.4417613744735718, 0.3824999928474426, 0.4140625]"
94,0.36279296875,0.36279296875,2048,128,0.95556640625,91.0,"[0.2946428656578064, 0.42952126264572144, 0.3776041567325592, 0.34375]"
95,0.37939453125,0.37939453125,2048,128,0.93896484375,125.0,"[0.30288460850715637, 0.44565218687057495, 0.375, 0.5078125]"
96,0.37451171875,0.37451171875,2048,128,0.896484375,212.0,"[0.2777777910232544, 0.4524456560611725, 0.4281249940395355, 0.4453125]"
97,0.39208984375,0.39208984375,2048,128,0.9326171875,138.0,"[0.31887754797935486, 0.4477040767669678, 0.44602271914482117, 0.3515625]"
98,0.36474609375,0.36474609375,2048,128,0.966796875,68.0,"[0.30024510622024536, 0.43194442987442017, 0.40625, 0.2734375]"
99,0.41796875,0.41796875,2048,128,0.93359375,136.0,"[0.3533163368701935, 0.4817708432674408, 0.4375, 0.375]"
100,0.38330078125,0.38330078125,2048,128,0.935546875,132.0,"[0.2799479067325592, 0.4662500023841858, 0.41477271914482117, 0.3984375]"
101,0.3828125,0.3828125,2048,128,0.95361328125,95.0,"[0.2747395932674408, 0.48233696818351746, 0.41586539149284363, 0.3515625]"
102,0.384765625,0.384765625,2048,128,0.9482421875,106.0,"[0.3020833432674408, 0.4453125, 0.4401041567325592, 0.3515625]"
103,0.357421875,0.357421875,2048,128,0.93994140625,123.0,"[0.2682291567325592, 0.4208333194255829, 0.4375, 0.265625]"
104,0.35400390625,0.35400390625,2048,128,0.943359375,116.0,"[0.2775000035762787, 0.4142441749572754, 0.41435185074806213, 0.3046875]"
105,0.39013671875,0.39013671875,2048,128,0.92578125,152.0,"[0.3098404109477997, 0.44999998807907104, 0.426630437374115, 0.3828125]"
106,0.37353515625,0.37353515625,2048,128,0.9326171875,138.0,"[0.2954545319080353, 0.4426020383834839, 0.3819444477558136, 0.3515625]"
107,0.38427734375,0.38427734375,2048,128,0.9345703125,134.0,"[0.29076087474823, 0.4711538553237915, 0.3863636255264282, 0.3515625]"
108,0.37890625,0.37890625,2048,128,0.935546875,132.0,"[0.30125001072883606, 0.4300595223903656, 0.4665178656578064, 0.2890625]"
109,0.3701171875,0.3701171875,2048,128,0.927734375,148.0,"[0.2680555582046509, 0.45408162474632263, 0.4014423191547394, 0.328125]"
110,0.39013671875,0.39013671875,2048,128,0.9384765625,126.0,"[0.3149999976158142, 0.4791666567325592, 0.3806818127632141, 0.3515625]"
111,0.3759765625,0.3759765625,2048,128,0.95361328125,95.0,"[0.2953431308269501, 0.4318181872367859, 0.4424999952316284, 0.375]"
112,0.3837890625,0.3837890625,2048,128,0.94775390625,107.0,"[0.2732558250427246, 0.48124998807907104, 0.3888888955116272, 0.3515625]"
113,0.38037109375,0.38037109375,2048,128,0.966796875,68.0,"[0.2877604067325592, 0.458776593208313, 0.42500001192092896, 0.3359375]"
114,0.40869140625,0.40869140625,2048,128,0.935546875,132.0,"[0.2855113744735718, 0.4891826808452606, 0.4817708432674408, 0.34375]"
115,0.3701171875,0.3701171875,2048,128,0.94140625,120.0,"[0.2885638177394867, 0.43622449040412903, 0.4140625, 0.3125]"
116,0.39404296875,0.39404296875,2048,128,0.939453125,124.0,"[0.3138020932674408, 0.4547872245311737, 0.41999998688697815, 0.4375]"
117,0.36328125,0.36328125,2048,128,0.9658203125,70.0,"[0.2799479067325592, 0.4231770932674408, 0.4140625, 0.3515625]"
118,0.35791015625,0.35791015625,2048,128,0.94580078125,111.0,"[0.2549999952316284, 0.4375, 0.421875, 0.3515625]"
119,0.359375,0.359375,2048,128,0.9404296875,122.0,"[0.2750000059604645, 0.4202127754688263, 0.40760868787765503, 0.390625]"
120,0.37548828125,0.37548828125,2048,128,0.9453125,112.0,"[0.27309781312942505, 0.42401960492134094, 0.44565218687057495, 0.453125]"
121,0.3671875,0.3671875,2048,128,0.92333984375,157.0,"[0.27450981736183167, 0.43194442987442017, 0.4427083432674408, 0.3671875]"
122,0.37109375,0.37109375,2048,128,0.9619140625,78.0,"[0.3174999952316284, 0.40353259444236755, 0.4244791567325592, 0.359375]"
123,0.39794921875,0.39794921875,2048,128,0.93017578125,143.0,"[0.29296875, 0.4853723347187042, 0.4625000059604645, 0.3125]"
124,0.408203125,0.408203125,2048,128,0.93798828125,127.0,"[0.32475489377975464, 0.45345744490623474, 0.5028409361839294, 0.4140625]"
125,0.38623046875,0.38623046875,2048,128,0.94921875,104.0,"[0.270380437374115, 0.45098039507865906, 0.4646739065647125, 0.4140625]"
126,0.404296875,0.404296875,2048,128,0.9365234375,130.0,"[0.30298912525177, 0.49000000953674316, 0.421875, 0.3984375]"
127,0.36865234375,0.36865234375,2048,128,0.94287109375,117.0,"[0.27638888359069824, 0.4399038553237915, 0.385869562625885, 0.375]"
128,0.384765625,0.384765625,2048,128,0.9365234375,130.0,"[0.3033854067325592, 0.4441489279270172, 0.4325000047683716, 0.375]"
